make,model,version,anio_modelo_seminuevo,precio,vehicleid_master
HONDA,CIVIC,Touring,2021,211137,HONDA_CIVIC_Touring_2021
FORD,explorer,Unknown Version,2015,418172,FORD_explorer_Unknown Version_2015
HONDA,CR-V,LX,2019,346696,HONDA_CR-V_LX_2019
HONDA,CIVIC,LX,2022,222720,HONDA_CIVIC_LX_2022
TOYOTA,COROLLA,LE,2015,186609,TOYOTA_COROLLA_LE_2015
ACURA,ADX,A-Spec,2019,188935,ACURA_ADX_A-Spec_2019
ACURA,MDX,Type S,2019,448986,ACURA_MDX_Type S_2019
TOYOTA,RAV4,LE,2015,281041,TOYOTA_RAV4_LE_2015
ACURA,MDX,Type S,2018,246453,ACURA_MDX_Type S_2018
CHEVROLET,TRACKER,RS,2018,339460,CHEVROLET_TRACKER_RS_2018
CHEVROLET,TRACKER,LT,2016,221704,CHEVROLET_TRACKER_LT_2016
CHEVROLET,TRACKER,LT,2019,274263,CHEVROLET_TRACKER_LT_2019
CHEVROLET,ONIX,LTZ,2016,296384,CHEVROLET_ONIX_LTZ_2016
FIAT,PULSE,Drive MT,2022,278552,FIAT_PULSE_Drive MT_2022
CHEVROLET,TRACKER,Base,2018,385044,CHEVROLET_TRACKER_Base_2018
FIAT,PULSE,Drive MT,2017,407208,FIAT_PULSE_Drive MT_2017
ACURA,INTEGRA,A-Spec,2019,286704,ACURA_INTEGRA_A-Spec_2019
TOYOTA,RAV4,LE,2019,355023,TOYOTA_RAV4_LE_2019
TOYOTA,COROLLA,SE,2015,444817,TOYOTA_COROLLA_SE_2015
CHEVROLET,TRACKER,Base,2015,221476,CHEVROLET_TRACKER_Base_2015
FORD,ECOSPORT,SE,2017,208247,FORD_ECOSPORT_SE_2017
FORD,ECOSPORT,SE,2017,186679,FORD_ECOSPORT_SE_2017
FIAT,PULSE,Drive Plus CVT,2017,199883,FIAT_PULSE_Drive Plus CVT_2017
TOYOTA,RAV4,Limited,2019,273076,TOYOTA_RAV4_Limited_2019
CHEVROLET,TRACKER,RS,2015,190982,CHEVROLET_TRACKER_RS_2015
FIAT,PULSE,Drive Plus CVT,2021,562337,FIAT_PULSE_Drive Plus CVT_2021
FORD,ECOSPORT,Titanium,2018,415810,FORD_ECOSPORT_Titanium_2018
ACURA,INTEGRA,Tech,2015,255786,ACURA_INTEGRA_Tech_2015
ACURA,ADX,A-Spec,2016,441173,ACURA_ADX_A-Spec_2016
FORD,explorer,Unknown Version,2015,136173,FORD_explorer_Unknown Version_2015
TOYOTA,COROLLA,XLE,2022,277532,TOYOTA_COROLLA_XLE_2022
FORD,explorer,Unknown Version,2016,409063,FORD_explorer_Unknown Version_2016
FIAT,PULSE,Drive MT,2021,239241,FIAT_PULSE_Drive MT_2021
HONDA,CR-V,LX,2021,289710,HONDA_CR-V_LX_2021
TOYOTA,COROLLA,LE,2022,303957,TOYOTA_COROLLA_LE_2022
CHEVROLET,TRACKER,RS,2018,356115,CHEVROLET_TRACKER_RS_2018
ACURA,MDX,Advance,2019,431344,ACURA_MDX_Advance_2019
FIAT,PULSE,Impetus,2021,419596,FIAT_PULSE_Impetus_2021
TOYOTA,COROLLA,LE,2021,214057,TOYOTA_COROLLA_LE_2021
TOYOTA,COROLLA,XLE,2019,151831,TOYOTA_COROLLA_XLE_2019
FIAT,PULSE,Drive Plus CVT,2020,330654,FIAT_PULSE_Drive Plus CVT_2020
HONDA,HR-V,Touring,2016,292437,HONDA_HR-V_Touring_2016
FIAT,PULSE,Drive Plus CVT,2019,322915,FIAT_PULSE_Drive Plus CVT_2019
FORD,explorer,Unknown Version,2016,376585,FORD_explorer_Unknown Version_2016
FORD,ECOSPORT,S,2021,235591,FORD_ECOSPORT_S_2021
HONDA,CIVIC,LX,2018,284774,HONDA_CIVIC_LX_2018
FORD,MAVERICK,XLT,2015,137339,FORD_MAVERICK_XLT_2015
ACURA,INTEGRA,Tech,2018,197940,ACURA_INTEGRA_Tech_2018
FIAT,STRADA,Working,2015,490923,FIAT_STRADA_Working_2015
ACURA,INTEGRA,A-Spec,2019,175168,ACURA_INTEGRA_A-Spec_2019
FIAT,STRADA,Working,2019,471711,FIAT_STRADA_Working_2019
FIAT,PULSE,Audace,2020,392014,FIAT_PULSE_Audace_2020
TOYOTA,CAMRY,XLE,2019,292171,TOYOTA_CAMRY_XLE_2019
ACURA,ADX,Advance,2021,230730,ACURA_ADX_Advance_2021
CHEVROLET,ONIX,LTZ,2015,347560,CHEVROLET_ONIX_LTZ_2015
FORD,MAVERICK,XLT,2021,469823,FORD_MAVERICK_XLT_2021
FIAT,PULSE,Drive Plus CVT,2018,367038,FIAT_PULSE_Drive Plus CVT_2018
TOYOTA,RAV4,XLE,2017,371496,TOYOTA_RAV4_XLE_2017
FORD,MAVERICK,XLT,2018,555297,FORD_MAVERICK_XLT_2018
FIAT,STRADA,Trekking,2019,297308,FIAT_STRADA_Trekking_2019
FIAT,PULSE,Drive Plus CVT,2022,570275,FIAT_PULSE_Drive Plus CVT_2022
FIAT,PULSE,Audace,2017,377483,FIAT_PULSE_Audace_2017
HONDA,CR-V,EX-L,2021,326214,HONDA_CR-V_EX-L_2021
ACURA,ADX,Advance,2020,310471,ACURA_ADX_Advance_2020
CHEVROLET,TRACKER,Base,2022,493436,CHEVROLET_TRACKER_Base_2022
CHEVROLET,TRACKER,RS,2019,349114,CHEVROLET_TRACKER_RS_2019
FIAT,STRADA,Working,2020,314590,FIAT_STRADA_Working_2020
HONDA,CR-V,LX,2015,374234,HONDA_CR-V_LX_2015
HONDA,CR-V,Touring,2016,307759,HONDA_CR-V_Touring_2016
FIAT,STRADA,Working,2015,403220,FIAT_STRADA_Working_2015
FORD,MAVERICK,XLT,2018,153869,FORD_MAVERICK_XLT_2018
TOYOTA,RAV4,Limited,2016,452721,TOYOTA_RAV4_Limited_2016
CHEVROLET,TRACKER,Base,2017,324426,CHEVROLET_TRACKER_Base_2017
HONDA,CR-V,EX-L,2018,456895,HONDA_CR-V_EX-L_2018
FIAT,STRADA,Trekking,2018,380148,FIAT_STRADA_Trekking_2018
FORD,MAVERICK,XLT,2016,463507,FORD_MAVERICK_XLT_2016
HONDA,CIVIC,EX,2022,214646,HONDA_CIVIC_EX_2022
ACURA,MDX,Type S,2017,313928,ACURA_MDX_Type S_2017
FIAT,PULSE,Impetus,2018,173758,FIAT_PULSE_Impetus_2018
TOYOTA,COROLLA,LE,2019,240505,TOYOTA_COROLLA_LE_2019
CHEVROLET,MALIBU,Premier,2020,332806,CHEVROLET_MALIBU_Premier_2020
TOYOTA,CAMRY,SE,2015,451252,TOYOTA_CAMRY_SE_2015
TOYOTA,RAV4,LE,2018,577578,TOYOTA_RAV4_LE_2018
HONDA,CIVIC,EX,2016,302724,HONDA_CIVIC_EX_2016
ACURA,MDX,Advance,2016,383031,ACURA_MDX_Advance_2016
TOYOTA,CAMRY,XLE,2022,247558,TOYOTA_CAMRY_XLE_2022
ACURA,INTEGRA,A-Spec,2018,265856,ACURA_INTEGRA_A-Spec_2018
TOYOTA,RAV4,Limited,2021,342964,TOYOTA_RAV4_Limited_2021
ACURA,ADX,Advance,2015,338771,ACURA_ADX_Advance_2015
FIAT,STRADA,Working,2015,244412,FIAT_STRADA_Working_2015
CHEVROLET,TRACKER,Base,2017,192888,CHEVROLET_TRACKER_Base_2017
HONDA,CIVIC,EX,2017,432902,HONDA_CIVIC_EX_2017
TOYOTA,RAV4,LE,2017,270197,TOYOTA_RAV4_LE_2017
FIAT,PULSE,Drive MT,2021,373417,FIAT_PULSE_Drive MT_2021
ACURA,MDX,Type S,2015,365948,ACURA_MDX_Type S_2015
HONDA,HR-V,Touring,2015,303212,HONDA_HR-V_Touring_2015
FORD,explorer,Unknown Version,2020,250765,FORD_explorer_Unknown Version_2020
ACURA,INTEGRA,Tech,2019,608452,ACURA_INTEGRA_Tech_2019
ACURA,MDX,Advance,2016,270727,ACURA_MDX_Advance_2016
FORD,MAVERICK,Lariat,2021,282612,FORD_MAVERICK_Lariat_2021
TOYOTA,RAV4,XLE,2021,522019,TOYOTA_RAV4_XLE_2021
FORD,explorer,Unknown Version,2021,508883,FORD_explorer_Unknown Version_2021
CHEVROLET,TRACKER,LT,2018,262279,CHEVROLET_TRACKER_LT_2018
FIAT,STRADA,Trekking,2022,308096,FIAT_STRADA_Trekking_2022
TOYOTA,COROLLA,LE,2018,147926,TOYOTA_COROLLA_LE_2018
HONDA,CR-V,Touring,2022,198547,HONDA_CR-V_Touring_2022
FORD,explorer,Unknown Version,2016,206090,FORD_explorer_Unknown Version_2016
ACURA,INTEGRA,Type S,2016,339022,ACURA_INTEGRA_Type S_2016
FIAT,PULSE,Audace,2017,432759,FIAT_PULSE_Audace_2017
TOYOTA,RAV4,Limited,2018,431757,TOYOTA_RAV4_Limited_2018
FORD,ECOSPORT,Titanium,2022,318471,FORD_ECOSPORT_Titanium_2022
ACURA,ADX,A-Spec,2016,420861,ACURA_ADX_A-Spec_2016
FIAT,STRADA,Trekking,2017,248882,FIAT_STRADA_Trekking_2017
HONDA,CIVIC,LX,2018,194230,HONDA_CIVIC_LX_2018
ACURA,INTEGRA,Type S,2016,207509,ACURA_INTEGRA_Type S_2016
FIAT,PULSE,Drive MT,2020,400356,FIAT_PULSE_Drive MT_2020
ACURA,MDX,Type S,2019,150238,ACURA_MDX_Type S_2019
FORD,MAVERICK,XLT,2015,231436,FORD_MAVERICK_XLT_2015
ACURA,MDX,Advance,2019,271397,ACURA_MDX_Advance_2019
TOYOTA,RAV4,LE,2016,168508,TOYOTA_RAV4_LE_2016
TOYOTA,RAV4,LE,2017,233910,TOYOTA_RAV4_LE_2017
FIAT,STRADA,Working,2020,310810,FIAT_STRADA_Working_2020
CHEVROLET,MALIBU,LT,2015,246595,CHEVROLET_MALIBU_LT_2015
ACURA,INTEGRA,Tech,2016,508389,ACURA_INTEGRA_Tech_2016
CHEVROLET,TRACKER,RS,2016,470282,CHEVROLET_TRACKER_RS_2016
CHEVROLET,TRACKER,Base,2021,519109,CHEVROLET_TRACKER_Base_2021
TOYOTA,COROLLA,SE,2018,499304,TOYOTA_COROLLA_SE_2018
TOYOTA,CAMRY,LE,2018,477302,TOYOTA_CAMRY_LE_2018
FIAT,PULSE,Impetus,2019,260721,FIAT_PULSE_Impetus_2019
CHEVROLET,ONIX,LT,2015,253355,CHEVROLET_ONIX_LT_2015
TOYOTA,COROLLA,XLE,2017,145260,TOYOTA_COROLLA_XLE_2017
CHEVROLET,TRACKER,Base,2017,338530,CHEVROLET_TRACKER_Base_2017
HONDA,HR-V,LX,2017,216737,HONDA_HR-V_LX_2017
FORD,explorer,Unknown Version,2019,242493,FORD_explorer_Unknown Version_2019
ACURA,INTEGRA,Tech,2017,250459,ACURA_INTEGRA_Tech_2017
HONDA,HR-V,Touring,2022,176709,HONDA_HR-V_Touring_2022
FORD,explorer,Unknown Version,2019,255036,FORD_explorer_Unknown Version_2019
TOYOTA,RAV4,Limited,2018,407388,TOYOTA_RAV4_Limited_2018
CHEVROLET,MALIBU,LT,2021,134619,CHEVROLET_MALIBU_LT_2021
FORD,MAVERICK,Lariat,2019,439921,FORD_MAVERICK_Lariat_2019
HONDA,HR-V,EX,2015,473569,HONDA_HR-V_EX_2015
HONDA,HR-V,LX,2021,298159,HONDA_HR-V_LX_2021
TOYOTA,COROLLA,LE,2016,134253,TOYOTA_COROLLA_LE_2016
ACURA,MDX,Type S,2022,278308,ACURA_MDX_Type S_2022
FORD,explorer,Unknown Version,2018,151081,FORD_explorer_Unknown Version_2018
ACURA,ADX,Advance,2018,144371,ACURA_ADX_Advance_2018
ACURA,ADX,A-Spec,2020,125173,ACURA_ADX_A-Spec_2020
TOYOTA,RAV4,LE,2019,397200,TOYOTA_RAV4_LE_2019
HONDA,CIVIC,EX,2022,433079,HONDA_CIVIC_EX_2022
TOYOTA,COROLLA,LE,2017,171616,TOYOTA_COROLLA_LE_2017
